group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_batched_read,dummy_batched_read_with,16,16,bytes,496790.0,ns,2629
dummy_batched_read,dummy_batched_read_with,16,16,bytes,1054494.0,ns,5258
dummy_batched_read,dummy_batched_read_with,16,16,bytes,1635633.0,ns,7887
dummy_batched_read,dummy_batched_read_with,16,16,bytes,2172158.0,ns,10516
dummy_batched_read,dummy_batched_read_with,16,16,bytes,2626246.0,ns,13145
dummy_batched_read,dummy_batched_read_with,16,16,bytes,3066769.0,ns,15774
dummy_batched_read,dummy_batched_read_with,16,16,bytes,3707040.0,ns,18403
dummy_batched_read,dummy_batched_read_with,16,16,bytes,4208970.0,ns,21032
dummy_batched_read,dummy_batched_read_with,16,16,bytes,4502063.0,ns,23661
dummy_batched_read,dummy_batched_read_with,16,16,bytes,4988473.0,ns,26290
dummy_batched_read,dummy_batched_read_with,16,16,bytes,5881351.0,ns,28919
dummy_batched_read,dummy_batched_read_with,16,16,bytes,6119713.0,ns,31548
dummy_batched_read,dummy_batched_read_with,16,16,bytes,6928512.0,ns,34177
dummy_batched_read,dummy_batched_read_with,16,16,bytes,7083785.0,ns,36806
dummy_batched_read,dummy_batched_read_with,16,16,bytes,7449527.0,ns,39435
dummy_batched_read,dummy_batched_read_with,16,16,bytes,8084869.0,ns,42064
dummy_batched_read,dummy_batched_read_with,16,16,bytes,8195979.0,ns,44693
dummy_batched_read,dummy_batched_read_with,16,16,bytes,9275850.0,ns,47322
dummy_batched_read,dummy_batched_read_with,16,16,bytes,9940858.0,ns,49951
dummy_batched_read,dummy_batched_read_with,16,16,bytes,10372154.0,ns,52580
dummy_batched_read,dummy_batched_read_with,16,16,bytes,10839497.0,ns,55209
dummy_batched_read,dummy_batched_read_with,16,16,bytes,11548489.0,ns,57838
dummy_batched_read,dummy_batched_read_with,16,16,bytes,11582022.0,ns,60467
dummy_batched_read,dummy_batched_read_with,16,16,bytes,11832796.0,ns,63096
dummy_batched_read,dummy_batched_read_with,16,16,bytes,14295393.0,ns,65725
dummy_batched_read,dummy_batched_read_with,16,16,bytes,13216902.0,ns,68354
dummy_batched_read,dummy_batched_read_with,16,16,bytes,13546887.0,ns,70983
dummy_batched_read,dummy_batched_read_with,16,16,bytes,13968605.0,ns,73612
dummy_batched_read,dummy_batched_read_with,16,16,bytes,15056051.0,ns,76241
dummy_batched_read,dummy_batched_read_with,16,16,bytes,15549424.0,ns,78870
dummy_batched_read,dummy_batched_read_with,16,16,bytes,15653311.0,ns,81499
dummy_batched_read,dummy_batched_read_with,16,16,bytes,16079076.0,ns,84128
dummy_batched_read,dummy_batched_read_with,16,16,bytes,16984027.0,ns,86757
dummy_batched_read,dummy_batched_read_with,16,16,bytes,17049981.0,ns,89386
dummy_batched_read,dummy_batched_read_with,16,16,bytes,18094497.0,ns,92015
dummy_batched_read,dummy_batched_read_with,16,16,bytes,19716154.0,ns,94644
dummy_batched_read,dummy_batched_read_with,16,16,bytes,19573754.0,ns,97273
dummy_batched_read,dummy_batched_read_with,16,16,bytes,20331877.0,ns,99902
dummy_batched_read,dummy_batched_read_with,16,16,bytes,20561933.0,ns,102531
dummy_batched_read,dummy_batched_read_with,16,16,bytes,21084841.0,ns,105160
dummy_batched_read,dummy_batched_read_with,16,16,bytes,20125307.0,ns,107789
dummy_batched_read,dummy_batched_read_with,16,16,bytes,21653586.0,ns,110418
dummy_batched_read,dummy_batched_read_with,16,16,bytes,21518612.0,ns,113047
dummy_batched_read,dummy_batched_read_with,16,16,bytes,22309718.0,ns,115676
dummy_batched_read,dummy_batched_read_with,16,16,bytes,23218225.0,ns,118305
dummy_batched_read,dummy_batched_read_with,16,16,bytes,24014622.0,ns,120934
dummy_batched_read,dummy_batched_read_with,16,16,bytes,23738710.0,ns,123563
dummy_batched_read,dummy_batched_read_with,16,16,bytes,24135600.0,ns,126192
dummy_batched_read,dummy_batched_read_with,16,16,bytes,25434156.0,ns,128821
dummy_batched_read,dummy_batched_read_with,16,16,bytes,25420099.0,ns,131450
