group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,687630.0,ns,3
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,1379378.0,ns,6
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,2070155.0,ns,9
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,2767453.0,ns,12
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,3401622.0,ns,15
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,4090284.0,ns,18
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,4751656.0,ns,21
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,5405151.0,ns,24
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,6109192.0,ns,27
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,6792044.0,ns,30
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,7471509.0,ns,33
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,8079398.0,ns,36
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,8832192.0,ns,39
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,9462493.0,ns,42
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,10208585.0,ns,45
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,10840330.0,ns,48
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,11426929.0,ns,51
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,12169322.0,ns,54
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,12764257.0,ns,57
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,13460394.0,ns,60
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,14050390.0,ns,63
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,14914814.0,ns,66
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,15475535.0,ns,69
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,16563581.0,ns,72
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,16741358.0,ns,75
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,17521022.0,ns,78
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,18100939.0,ns,81
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,18897295.0,ns,84
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,19343749.0,ns,87
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,20164701.0,ns,90
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,20962309.0,ns,93
dummy_batched_read,dummy_batched_read_with,16384,16384,bytes,21575510.0,ns,96
