group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_batched_read,dummy_batched_read_without,4,4,bytes,540272.0,ns,13225
dummy_batched_read,dummy_batched_read_without,4,4,bytes,1003948.0,ns,26450
dummy_batched_read,dummy_batched_read_without,4,4,bytes,1713460.0,ns,39675
dummy_batched_read,dummy_batched_read_without,4,4,bytes,2684366.0,ns,52900
dummy_batched_read,dummy_batched_read_without,4,4,bytes,2766081.0,ns,66125
dummy_batched_read,dummy_batched_read_without,4,4,bytes,3662366.0,ns,79350
dummy_batched_read,dummy_batched_read_without,4,4,bytes,3770561.0,ns,92575
dummy_batched_read,dummy_batched_read_without,4,4,bytes,3935522.0,ns,105800
dummy_batched_read,dummy_batched_read_without,4,4,bytes,5456969.0,ns,119025
dummy_batched_read,dummy_batched_read_without,4,4,bytes,5428596.0,ns,132250
dummy_batched_read,dummy_batched_read_without,4,4,bytes,5799327.0,ns,145475
dummy_batched_read,dummy_batched_read_without,4,4,bytes,7360298.0,ns,158700
dummy_batched_read,dummy_batched_read_without,4,4,bytes,7853912.0,ns,171925
dummy_batched_read,dummy_batched_read_without,4,4,bytes,7651940.0,ns,185150
dummy_batched_read,dummy_batched_read_without,4,4,bytes,10592039.0,ns,198375
dummy_batched_read,dummy_batched_read_without,4,4,bytes,8555490.0,ns,211600
dummy_batched_read,dummy_batched_read_without,4,4,bytes,8871616.0,ns,224825
dummy_batched_read,dummy_batched_read_without,4,4,bytes,10726695.0,ns,238050
dummy_batched_read,dummy_batched_read_without,4,4,bytes,11122453.0,ns,251275
dummy_batched_read,dummy_batched_read_without,4,4,bytes,10621846.0,ns,264500
dummy_batched_read,dummy_batched_read_without,4,4,bytes,11111593.0,ns,277725
dummy_batched_read,dummy_batched_read_without,4,4,bytes,11406240.0,ns,290950
dummy_batched_read,dummy_batched_read_without,4,4,bytes,11603061.0,ns,304175
dummy_batched_read,dummy_batched_read_without,4,4,bytes,12744631.0,ns,317400
dummy_batched_read,dummy_batched_read_without,4,4,bytes,12896277.0,ns,330625
dummy_batched_read,dummy_batched_read_without,4,4,bytes,15698126.0,ns,343850
dummy_batched_read,dummy_batched_read_without,4,4,bytes,14543913.0,ns,357075
dummy_batched_read,dummy_batched_read_without,4,4,bytes,14102298.0,ns,370300
dummy_batched_read,dummy_batched_read_without,4,4,bytes,16688439.0,ns,383525
dummy_batched_read,dummy_batched_read_without,4,4,bytes,18448196.0,ns,396750
dummy_batched_read,dummy_batched_read_without,4,4,bytes,16095897.0,ns,409975
dummy_batched_read,dummy_batched_read_without,4,4,bytes,16881844.0,ns,423200
dummy_batched_read,dummy_batched_read_without,4,4,bytes,18588331.0,ns,436425
dummy_batched_read,dummy_batched_read_without,4,4,bytes,20686159.0,ns,449650
dummy_batched_read,dummy_batched_read_without,4,4,bytes,17521094.0,ns,462875
dummy_batched_read,dummy_batched_read_without,4,4,bytes,24208168.0,ns,476100
dummy_batched_read,dummy_batched_read_without,4,4,bytes,19861909.0,ns,489325
dummy_batched_read,dummy_batched_read_without,4,4,bytes,22127353.0,ns,502550
dummy_batched_read,dummy_batched_read_without,4,4,bytes,21347729.0,ns,515775
dummy_batched_read,dummy_batched_read_without,4,4,bytes,20551764.0,ns,529000
dummy_batched_read,dummy_batched_read_without,4,4,bytes,27386449.0,ns,542225
dummy_batched_read,dummy_batched_read_without,4,4,bytes,21052150.0,ns,555450
dummy_batched_read,dummy_batched_read_without,4,4,bytes,26661708.0,ns,568675
dummy_batched_read,dummy_batched_read_without,4,4,bytes,22074083.0,ns,581900
dummy_batched_read,dummy_batched_read_without,4,4,bytes,24060759.0,ns,595125
dummy_batched_read,dummy_batched_read_without,4,4,bytes,28917104.0,ns,608350
dummy_batched_read,dummy_batched_read_without,4,4,bytes,36675485.0,ns,621575
dummy_batched_read,dummy_batched_read_without,4,4,bytes,27020927.0,ns,634800
dummy_batched_read,dummy_batched_read_without,4,4,bytes,25152645.0,ns,648025
dummy_batched_read,dummy_batched_read_without,4,4,bytes,25515190.0,ns,661250
dummy_batched_read,dummy_batched_read_without,4,4,bytes,28222510.0,ns,674475
dummy_batched_read,dummy_batched_read_without,4,4,bytes,28434020.0,ns,687700
dummy_batched_read,dummy_batched_read_without,4,4,bytes,26503278.0,ns,700925
dummy_batched_read,dummy_batched_read_without,4,4,bytes,33180376.0,ns,714150
dummy_batched_read,dummy_batched_read_without,4,4,bytes,32112095.0,ns,727375
dummy_batched_read,dummy_batched_read_without,4,4,bytes,30127973.0,ns,740600
dummy_batched_read,dummy_batched_read_without,4,4,bytes,32356418.0,ns,753825
dummy_batched_read,dummy_batched_read_without,4,4,bytes,30394647.0,ns,767050
dummy_batched_read,dummy_batched_read_without,4,4,bytes,31233294.0,ns,780275
dummy_batched_read,dummy_batched_read_without,4,4,bytes,30192765.0,ns,793500
dummy_batched_read,dummy_batched_read_without,4,4,bytes,31663036.0,ns,806725
dummy_batched_read,dummy_batched_read_without,4,4,bytes,35559645.0,ns,819950
dummy_batched_read,dummy_batched_read_without,4,4,bytes,39232020.0,ns,833175
dummy_batched_read,dummy_batched_read_without,4,4,bytes,40484027.0,ns,846400
dummy_batched_read,dummy_batched_read_without,4,4,bytes,34882435.0,ns,859625
dummy_batched_read,dummy_batched_read_without,4,4,bytes,37795763.0,ns,872850
dummy_batched_read,dummy_batched_read_without,4,4,bytes,41456656.0,ns,886075
dummy_batched_read,dummy_batched_read_without,4,4,bytes,40742305.0,ns,899300
dummy_batched_read,dummy_batched_read_without,4,4,bytes,37151285.0,ns,912525
dummy_batched_read,dummy_batched_read_without,4,4,bytes,38129755.0,ns,925750
dummy_batched_read,dummy_batched_read_without,4,4,bytes,43057854.0,ns,938975
dummy_batched_read,dummy_batched_read_without,4,4,bytes,37642864.0,ns,952200
dummy_batched_read,dummy_batched_read_without,4,4,bytes,41181465.0,ns,965425
dummy_batched_read,dummy_batched_read_without,4,4,bytes,38805533.0,ns,978650
dummy_batched_read,dummy_batched_read_without,4,4,bytes,38494375.0,ns,991875
dummy_batched_read,dummy_batched_read_without,4,4,bytes,39697640.0,ns,1005100
dummy_batched_read,dummy_batched_read_without,4,4,bytes,46637444.0,ns,1018325
dummy_batched_read,dummy_batched_read_without,4,4,bytes,47287703.0,ns,1031550
dummy_batched_read,dummy_batched_read_without,4,4,bytes,44894187.0,ns,1044775
dummy_batched_read,dummy_batched_read_without,4,4,bytes,43578629.0,ns,1058000
dummy_batched_read,dummy_batched_read_without,4,4,bytes,45680104.0,ns,1071225
dummy_batched_read,dummy_batched_read_without,4,4,bytes,51740343.0,ns,1084450
dummy_batched_read,dummy_batched_read_without,4,4,bytes,44448864.0,ns,1097675
dummy_batched_read,dummy_batched_read_without,4,4,bytes,43053807.0,ns,1110900
dummy_batched_read,dummy_batched_read_without,4,4,bytes,43577857.0,ns,1124125
dummy_batched_read,dummy_batched_read_without,4,4,bytes,64460307.0,ns,1137350
dummy_batched_read,dummy_batched_read_without,4,4,bytes,48536244.0,ns,1150575
dummy_batched_read,dummy_batched_read_without,4,4,bytes,47297471.0,ns,1163800
dummy_batched_read,dummy_batched_read_without,4,4,bytes,49885936.0,ns,1177025
dummy_batched_read,dummy_batched_read_without,4,4,bytes,50569449.0,ns,1190250
dummy_batched_read,dummy_batched_read_without,4,4,bytes,47482872.0,ns,1203475
dummy_batched_read,dummy_batched_read_without,4,4,bytes,69798332.0,ns,1216700
dummy_batched_read,dummy_batched_read_without,4,4,bytes,60167840.0,ns,1229925
dummy_batched_read,dummy_batched_read_without,4,4,bytes,60058453.0,ns,1243150
dummy_batched_read,dummy_batched_read_without,4,4,bytes,54262232.0,ns,1256375
dummy_batched_read,dummy_batched_read_without,4,4,bytes,48021882.0,ns,1269600
dummy_batched_read,dummy_batched_read_without,4,4,bytes,49869184.0,ns,1282825
dummy_batched_read,dummy_batched_read_without,4,4,bytes,47828305.0,ns,1296050
dummy_batched_read,dummy_batched_read_without,4,4,bytes,56678151.0,ns,1309275
dummy_batched_read,dummy_batched_read_without,4,4,bytes,69823770.0,ns,1322500
