group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,657613.0,ns,745
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,1089401.0,ns,1490
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,1666723.0,ns,2235
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,2157230.0,ns,2980
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,2695007.0,ns,3725
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,3256890.0,ns,4470
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,2889255.0,ns,5215
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,5287871.0,ns,5960
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,4843991.0,ns,6705
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,5389794.0,ns,7450
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,5992914.0,ns,8195
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,6315926.0,ns,8940
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,6851739.0,ns,9685
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,7387912.0,ns,10430
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,7999760.0,ns,11175
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,8460321.0,ns,11920
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,8955557.0,ns,12665
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,11437382.0,ns,13410
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,12891111.0,ns,14155
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,10569881.0,ns,14900
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,11274243.0,ns,15645
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,11586333.0,ns,16390
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,11963266.0,ns,17135
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,9419946.0,ns,17880
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,13054409.0,ns,18625
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,13390355.0,ns,19370
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,13909827.0,ns,20115
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,14381239.0,ns,20860
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,14792807.0,ns,21605
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,15257947.0,ns,22350
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,15765296.0,ns,23095
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,16940079.0,ns,23840
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,17580670.0,ns,24585
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,18053123.0,ns,25330
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,18568448.0,ns,26075
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,19035602.0,ns,26820
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,19677125.0,ns,27565
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,20200174.0,ns,28310
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,20800370.0,ns,29055
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,21108072.0,ns,29800
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,21705011.0,ns,30545
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,22359297.0,ns,31290
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,22684703.0,ns,32035
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,23945719.0,ns,32780
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,23906895.0,ns,33525
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,24293506.0,ns,34270
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,18822389.0,ns,35015
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,25608392.0,ns,35760
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,25877462.0,ns,36505
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,26473638.0,ns,37250
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,27074145.0,ns,37995
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,27776152.0,ns,38740
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,28333296.0,ns,39485
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,28599931.0,ns,40230
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,29993506.0,ns,40975
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,30296590.0,ns,41720
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,30767089.0,ns,42465
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,30927252.0,ns,43210
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,29770454.0,ns,43955
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,31618299.0,ns,44700
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,32659899.0,ns,45445
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,32781078.0,ns,46190
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,33677654.0,ns,46935
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,34278070.0,ns,47680
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,35040521.0,ns,48425
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,35476837.0,ns,49170
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,36227997.0,ns,49915
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,37135734.0,ns,50660
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,36626451.0,ns,51405
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,28247564.0,ns,52150
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,28581916.0,ns,52895
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,38515023.0,ns,53640
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,39005941.0,ns,54385
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,39214526.0,ns,55130
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,39758114.0,ns,55875
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,40684676.0,ns,56620
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,40923779.0,ns,57365
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,41718181.0,ns,58110
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,43316063.0,ns,58855
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,42860832.0,ns,59600
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,44134061.0,ns,60345
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,43534074.0,ns,61090
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,53235012.0,ns,61835
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,43544424.0,ns,62580
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,43463060.0,ns,63325
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,44070269.0,ns,64070
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,53619730.0,ns,64815
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,45148999.0,ns,65560
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,45630169.0,ns,66305
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,46439330.0,ns,67050
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,46609321.0,ns,67795
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,35883145.0,ns,68540
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,47534331.0,ns,69285
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,48585659.0,ns,70030
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,36993895.0,ns,70775
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,49668998.0,ns,71520
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,49602812.0,ns,72265
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,52747901.0,ns,73010
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,52704589.0,ns,73755
dummy_chunk_vat,dummy_chunk_vat_nocache,4,64,elements,55393053.0,ns,74500
