group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,555921.0,ns,2646
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,1124246.0,ns,5292
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,1588835.0,ns,7938
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,2183660.0,ns,10584
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,2663507.0,ns,13230
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,3253623.0,ns,15876
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,3798634.0,ns,18522
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,4312055.0,ns,21168
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,4859991.0,ns,23814
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,5351269.0,ns,26460
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,5811931.0,ns,29106
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,6353796.0,ns,31752
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,11375063.0,ns,34398
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,7411346.0,ns,37044
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,7834727.0,ns,39690
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,7747302.0,ns,42336
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,8625362.0,ns,44982
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,9239354.0,ns,47628
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,9551735.0,ns,50274
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,10285773.0,ns,52920
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,10714633.0,ns,55566
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,11039048.0,ns,58212
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,11597903.0,ns,60858
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,13905068.0,ns,63504
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,13014622.0,ns,66150
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,13170288.0,ns,68796
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,13998504.0,ns,71442
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,14597547.0,ns,74088
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,14393100.0,ns,76734
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,15769673.0,ns,79380
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,16798329.0,ns,82026
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,17603572.0,ns,84672
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,17576391.0,ns,87318
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,18621085.0,ns,89964
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,18105221.0,ns,92610
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,19575632.0,ns,95256
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,19549011.0,ns,97902
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,19800777.0,ns,100548
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,21180497.0,ns,103194
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,21272841.0,ns,105840
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,22000518.0,ns,108486
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,22512015.0,ns,111132
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,22443666.0,ns,113778
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,24341535.0,ns,116424
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,24780394.0,ns,119070
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,24826261.0,ns,121716
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,25763023.0,ns,124362
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,26077869.0,ns,127008
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,26137581.0,ns,129654
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,27077850.0,ns,132300
dummy_chunk_vat,dummy_chunk_vat_tlb_nocache,4,64,elements,26225268.0,ns,134946
