group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,518240.0,ns,171
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,1128805.0,ns,342
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,1664357.0,ns,513
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,2062821.0,ns,684
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,2654140.0,ns,855
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,3348022.0,ns,1026
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,3834412.0,ns,1197
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,4196948.0,ns,1368
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,4859020.0,ns,1539
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,5443505.0,ns,1710
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,5032529.0,ns,1881
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,6468114.0,ns,2052
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,7234974.0,ns,2223
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,7202913.0,ns,2394
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,7726614.0,ns,2565
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,8134305.0,ns,2736
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,8599364.0,ns,2907
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,9098589.0,ns,3078
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,10085165.0,ns,3249
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,10822078.0,ns,3420
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,10894906.0,ns,3591
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,12432735.0,ns,3762
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,11820537.0,ns,3933
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,12539446.0,ns,4104
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,13503551.0,ns,4275
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,12900509.0,ns,4446
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,14403602.0,ns,4617
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,14358226.0,ns,4788
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,15309385.0,ns,4959
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,16120259.0,ns,5130
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,14680897.0,ns,5301
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,16461404.0,ns,5472
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,17643980.0,ns,5643
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,16541595.0,ns,5814
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,18009071.0,ns,5985
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,16442228.0,ns,6156
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,19664502.0,ns,6327
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,20337606.0,ns,6498
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,19999445.0,ns,6669
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,21640319.0,ns,6840
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s100,16384,16384,bytes,19377810.0,ns,7011
