group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,471792.0,ns,915
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,950598.0,ns,1830
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,1395469.0,ns,2745
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,1809773.0,ns,3660
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,2265565.0,ns,4575
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,2893472.0,ns,5490
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,3344095.0,ns,6405
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,3737629.0,ns,7320
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,4233276.0,ns,8235
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,4427594.0,ns,9150
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,5384103.0,ns,10065
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,5899258.0,ns,10980
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,6286631.0,ns,11895
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,6271892.0,ns,12810
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,7438278.0,ns,13725
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,7308322.0,ns,14640
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,7977789.0,ns,15555
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,8656532.0,ns,16470
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,8587252.0,ns,17385
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,8878402.0,ns,18300
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,9773575.0,ns,19215
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,10337231.0,ns,20130
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,11101126.0,ns,21045
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,11490112.0,ns,21960
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,11943690.0,ns,22875
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,12403359.0,ns,23790
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,12960453.0,ns,24705
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,13357694.0,ns,25620
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,12927240.0,ns,26535
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,14344931.0,ns,27450
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,14145754.0,ns,28365
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,15363257.0,ns,29280
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,15035467.0,ns,30195
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,15838676.0,ns,31110
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,16685027.0,ns,32025
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,16708902.0,ns,32940
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,17142212.0,ns,33855
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,16602321.0,ns,34770
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,19413267.0,ns,35685
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,19402216.0,ns,36600
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,19297809.0,ns,37515
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,19968257.0,ns,38430
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,20584683.0,ns,39345
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,20393681.0,ns,40260
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,21525112.0,ns,41175
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,20701243.0,ns,42090
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,22203525.0,ns,43005
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,22151847.0,ns,43920
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,23654960.0,ns,44835
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,23141288.0,ns,45750
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,24104240.0,ns,46665
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,24501401.0,ns,47580
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,23966358.0,ns,48495
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,25891590.0,ns,49410
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,25210832.0,ns,50325
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,25960900.0,ns,51240
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,27719577.0,ns,52155
dummy_phys_chunk_read,dummy_phys_chunk_read_cache_s1000,16384,16384,bytes,26875110.0,ns,53070
