group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,544390.0,ns,9444
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,1051589.0,ns,18888
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,1619603.0,ns,28332
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,2183660.0,ns,37776
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,2723712.0,ns,47220
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,3261329.0,ns,56664
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,3846114.0,ns,66108
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,4380876.0,ns,75552
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,4887605.0,ns,84996
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,5637703.0,ns,94440
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,5975372.0,ns,103884
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,6875775.0,ns,113328
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,9337161.0,ns,122772
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,10418616.0,ns,132216
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,11735506.0,ns,141660
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,10096206.0,ns,151104
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,9374030.0,ns,160548
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,9482205.0,ns,169992
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,9806147.0,ns,179436
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,11067743.0,ns,188880
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,10868647.0,ns,198324
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,11702114.0,ns,207768
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,12724056.0,ns,217212
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,12875523.0,ns,226656
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,13565669.0,ns,236100
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,14287574.0,ns,245544
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,14840189.0,ns,254988
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,14886326.0,ns,264432
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,15742815.0,ns,273876
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,16325759.0,ns,283320
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,16846594.0,ns,292764
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,17274633.0,ns,302208
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,17638382.0,ns,311652
dummy_phys_seq_read,dummy_phys_seq_read_cache,16,16,bytes,18514148.0,ns,321096
