group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,480890.0,ns,8205
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,1001565.0,ns,16410
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,1369210.0,ns,24615
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,1825252.0,ns,32820
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,2269572.0,ns,41025
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,2885197.0,ns,49230
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,3357070.0,ns,57435
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,3892713.0,ns,65640
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,4333385.0,ns,73845
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,4802002.0,ns,82050
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,5339510.0,ns,90255
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,5785733.0,ns,98460
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,6264759.0,ns,106665
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,6553716.0,ns,114870
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,7237008.0,ns,123075
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,7654338.0,ns,131280
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,8179781.0,ns,139485
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,8179201.0,ns,147690
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,8944548.0,ns,155895
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,9657146.0,ns,164100
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,9773355.0,ns,172305
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,18964520.0,ns,180510
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,10657918.0,ns,188715
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,11279585.0,ns,196920
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,11623094.0,ns,205125
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,12245030.0,ns,213330
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,13072495.0,ns,221535
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,13513059.0,ns,229740
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,13983057.0,ns,237945
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,24814495.0,ns,246150
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,14945698.0,ns,254355
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,27634117.0,ns,262560
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,15956650.0,ns,270765
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,16399588.0,ns,278970
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,15915363.0,ns,287175
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,16930583.0,ns,295380
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,17418084.0,ns,303585
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,18346190.0,ns,311790
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,33637181.0,ns,319995
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,18768980.0,ns,328200
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,19877195.0,ns,336405
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,19728154.0,ns,344610
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,20116358.0,ns,352815
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,19868028.0,ns,361020
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,20550139.0,ns,369225
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,21576410.0,ns,377430
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,22629943.0,ns,385635
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,22363317.0,ns,393840
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,23776692.0,ns,402045
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,24245127.0,ns,410250
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,24615217.0,ns,418455
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,23674388.0,ns,426660
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,25740085.0,ns,434865
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,44525156.0,ns,443070
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,25877765.0,ns,451275
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,26927060.0,ns,459480
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,28358688.0,ns,467685
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,28230035.0,ns,475890
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,28467724.0,ns,484095
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,28958061.0,ns,492300
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,29455613.0,ns,500505
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,29866440.0,ns,508710
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,30471745.0,ns,516915
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,29806667.0,ns,525120
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,31782022.0,ns,533325
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,30898041.0,ns,541530
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,32358103.0,ns,549735
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,32971052.0,ns,557940
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,32475424.0,ns,566145
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,57325947.0,ns,574350
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,34259008.0,ns,582555
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,34817494.0,ns,590760
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,34173916.0,ns,598965
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,35934447.0,ns,607170
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,36434763.0,ns,615375
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,36607119.0,ns,623580
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,35070662.0,ns,631785
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,37539733.0,ns,639990
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,38025522.0,ns,648195
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,38489068.0,ns,656400
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,66669329.0,ns,664605
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,37173190.0,ns,672810
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,40147786.0,ns,681015
dummy_phys_seq_read,dummy_phys_seq_read_cache,256,256,bytes,41525572.0,ns,689220
