group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,433580.0,ns,392
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,1054334.0,ns,784
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,1580620.0,ns,1176
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,2041332.0,ns,1568
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,2534304.0,ns,1960
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,3122327.0,ns,2352
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,3494570.0,ns,2744
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,4135353.0,ns,3136
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,3768808.0,ns,3528
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,5227999.0,ns,3920
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,4709980.0,ns,4312
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,6243369.0,ns,4704
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,6739489.0,ns,5096
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,6905643.0,ns,5488
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,7732867.0,ns,5880
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,8522801.0,ns,6272
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,8632088.0,ns,6664
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,7590408.0,ns,7056
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,7984162.0,ns,7448
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,10148446.0,ns,7840
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,8898452.0,ns,8232
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,9194782.0,ns,8624
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,11683560.0,ns,9016
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,10374424.0,ns,9408
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,12919378.0,ns,9800
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,13612199.0,ns,10192
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,13596348.0,ns,10584
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,13925310.0,ns,10976
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,14646515.0,ns,11368
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,12914969.0,ns,11760
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,15189051.0,ns,12152
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,16803375.0,ns,12544
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,17122428.0,ns,12936
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,15070136.0,ns,13328
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,18467522.0,ns,13720
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,18676878.0,ns,14112
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,15480803.0,ns,14504
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,19960497.0,ns,14896
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,18971426.0,ns,15288
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,16848009.0,ns,15680
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,20994141.0,ns,16072
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,21573267.0,ns,16464
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,21952243.0,ns,16856
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,22073714.0,ns,17248
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,23897042.0,ns,17640
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,23105445.0,ns,18032
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,23105866.0,ns,18424
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,24211648.0,ns,18816
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,25534359.0,ns,19208
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,24488781.0,ns,19600
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,25699412.0,ns,19992
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,21836144.0,ns,20384
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,27278078.0,ns,20776
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,28681202.0,ns,21168
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,28039458.0,ns,21560
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,23914636.0,ns,21952
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,28811218.0,ns,22344
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,30531052.0,ns,22736
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,24716903.0,ns,23128
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,25323361.0,ns,23520
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,30451590.0,ns,23912
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,31801304.0,ns,24304
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,26352548.0,ns,24696
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,26776428.0,ns,25088
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,32844187.0,ns,25480
dummy_virt_chunk_read,dummy_virt_chunk_read_nocache_s100,4096,4096,bytes,32946921.0,ns,25872
