group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,540954.0,ns,1652
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,805033.0,ns,3304
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,1204358.0,ns,4956
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,2146551.0,ns,6608
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,2706058.0,ns,8260
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,2420479.0,ns,9912
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,2860821.0,ns,11564
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,3324468.0,ns,13216
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,3628172.0,ns,14868
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,5459287.0,ns,16520
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,5904349.0,ns,18172
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,4760334.0,ns,19824
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,7087306.0,ns,21476
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,5566420.0,ns,23128
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,5994630.0,ns,24780
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,8441959.0,ns,26432
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,6800103.0,ns,28084
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,7240055.0,ns,29736
dummy_virt_chunk_read,dummy_virt_chunk_read_tlb_nocache_s100,1024,1024,bytes,7566473.0,ns,31388
