group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,505986.0,ns,1155
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,1043793.0,ns,2310
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,1535574.0,ns,3465
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,2054334.0,ns,4620
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,2577384.0,ns,5775
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,3091506.0,ns,6930
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,3590870.0,ns,8085
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,4102348.0,ns,9240
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,4633752.0,ns,10395
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,5123288.0,ns,11550
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,5628694.0,ns,12705
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,6159097.0,ns,13860
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,6656658.0,ns,15015
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,7089355.0,ns,16170
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,7594391.0,ns,17325
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,8162565.0,ns,18480
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,8631723.0,ns,19635
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,9158979.0,ns,20790
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,9674905.0,ns,21945
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,10145885.0,ns,23100
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,10684805.0,ns,24255
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,11246707.0,ns,25410
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,11797168.0,ns,26565
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,12293045.0,ns,27720
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,12731335.0,ns,28875
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,13447980.0,ns,30030
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,13811046.0,ns,31185
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,14393549.0,ns,32340
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,14761925.0,ns,33495
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,15383189.0,ns,34650
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,15921878.0,ns,35805
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,16496044.0,ns,36960
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,16990489.0,ns,38115
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,17402930.0,ns,39270
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,18032089.0,ns,40425
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,18443967.0,ns,41580
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,18988368.0,ns,42735
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,19437937.0,ns,43890
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,19997235.0,ns,45045
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,20542726.0,ns,46200
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,21019768.0,ns,47355
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,21577864.0,ns,48510
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,21991756.0,ns,49665
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,22480040.0,ns,50820
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,22943546.0,ns,51975
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,23475252.0,ns,53130
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,23920523.0,ns,54285
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,24448873.0,ns,55440
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,24943678.0,ns,56595
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,25468331.0,ns,57750
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,25847117.0,ns,58905
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,26320301.0,ns,60060
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,26864060.0,ns,61215
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,27730268.0,ns,62370
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,28025226.0,ns,63525
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,28504682.0,ns,64680
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,28978548.0,ns,65835
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,29498302.0,ns,66990
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,29986123.0,ns,68145
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,30521847.0,ns,69300
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,31119938.0,ns,70455
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,31543889.0,ns,71610
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,32089562.0,ns,72765
dummy_virt_seq_read,dummy_virt_seq_read_nocache,8,8,bytes,32642397.0,ns,73920
