group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,503873.0,ns,1741
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,1041240.0,ns,3482
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,1505408.0,ns,5223
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,2023418.0,ns,6964
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,2537400.0,ns,8705
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,3079355.0,ns,10446
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,3513295.0,ns,12187
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,4005627.0,ns,13928
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,4579322.0,ns,15669
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,4887164.0,ns,17410
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,5326405.0,ns,19151
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,6090872.0,ns,20892
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,6585927.0,ns,22633
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,7064083.0,ns,24374
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,7048252.0,ns,26115
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,8083711.0,ns,27856
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,8369361.0,ns,29597
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,8930032.0,ns,31338
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,9284213.0,ns,33079
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,9573789.0,ns,34820
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,10621622.0,ns,36561
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,11083936.0,ns,38302
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,11270479.0,ns,40043
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,12013705.0,ns,41784
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,12540983.0,ns,43525
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,13221229.0,ns,45266
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,4096,4096,bytes,13400137.0,ns,47007
