group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,507530.0,ns,3483
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,1011383.0,ns,6966
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,1496941.0,ns,10449
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,1991297.0,ns,13932
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,2458741.0,ns,17415
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,2978023.0,ns,20898
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,3488048.0,ns,24381
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,3897613.0,ns,27864
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,4547712.0,ns,31347
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,4935096.0,ns,34830
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,5541242.0,ns,38313
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,5934286.0,ns,41796
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,6392072.0,ns,45279
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,6962079.0,ns,48762
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,7511829.0,ns,52245
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,7926665.0,ns,55728
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,8422191.0,ns,59211
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,8937075.0,ns,62694
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,9435158.0,ns,66177
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,10015104.0,ns,69660
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,10458363.0,ns,73143
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,10872797.0,ns,76626
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,11479544.0,ns,80109
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,11880874.0,ns,83592
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,12377333.0,ns,87075
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,12946540.0,ns,90558
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,13599404.0,ns,94041
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,13837174.0,ns,97524
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,14034959.0,ns,101007
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,14863367.0,ns,104490
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,15372318.0,ns,107973
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,16060821.0,ns,111456
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,16618315.0,ns,114939
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,17191850.0,ns,118422
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,17158347.0,ns,121905
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,17686456.0,ns,125388
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,17949273.0,ns,128871
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,19003588.0,ns,132354
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,19562614.0,ns,135837
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,20101253.0,ns,139320
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,20397264.0,ns,142803
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,20637358.0,ns,146286
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,21395813.0,ns,149769
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,21940793.0,ns,153252
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,22455927.0,ns,156735
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,22783808.0,ns,160218
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,23445029.0,ns,163701
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,23976094.0,ns,167184
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,24410916.0,ns,170667
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,24889701.0,ns,174150
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,24998588.0,ns,177633
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,25645992.0,ns,181116
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,26067129.0,ns,184599
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,26768606.0,ns,188082
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,27474732.0,ns,191565
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,27790068.0,ns,195048
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,28142775.0,ns,198531
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,28651728.0,ns,202014
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,28962666.0,ns,205497
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,29156233.0,ns,208980
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,56145054.0,ns,212463
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,30260671.0,ns,215946
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,31452295.0,ns,219429
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,31963282.0,ns,222912
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,32793793.0,ns,226395
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,33126422.0,ns,229878
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,32835292.0,ns,233361
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,34079315.0,ns,236844
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,34636899.0,ns,240327
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,35073386.0,ns,243810
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,35219431.0,ns,247293
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,36050463.0,ns,250776
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,36707066.0,ns,254259
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,37172947.0,ns,257742
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,37528329.0,ns,261225
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,37952923.0,ns,264708
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,38751482.0,ns,268191
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,39296774.0,ns,271674
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,39748087.0,ns,275157
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,40236582.0,ns,278640
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,40667617.0,ns,282123
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,40859801.0,ns,285606
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,41629466.0,ns,289089
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,42391057.0,ns,292572
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,42190318.0,ns,296055
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,43155123.0,ns,299538
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,43705654.0,ns,303021
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,44194709.0,ns,306504
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,44862562.0,ns,309987
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,45534584.0,ns,313470
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,45912017.0,ns,316953
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,46060779.0,ns,320436
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,45017907.0,ns,323919
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,48637604.0,ns,327402
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,48335852.0,ns,330885
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,48832292.0,ns,334368
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,48262444.0,ns,337851
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,48897064.0,ns,341334
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,49030897.0,ns,344817
dummy_virt_seq_read,dummy_virt_seq_read_tlb_cache,8,8,bytes,50022002.0,ns,348300
