group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,537046.0,ns,6059
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,1076566.0,ns,12118
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,1542847.0,ns,18177
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,4194342.0,ns,24236
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,2602441.0,ns,30295
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,3129117.0,ns,36354
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,3559962.0,ns,42413
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,4258273.0,ns,48472
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,4712041.0,ns,54531
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,5314899.0,ns,60590
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,5783387.0,ns,66649
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,6420742.0,ns,72708
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,6813886.0,ns,78767
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,7542332.0,ns,84826
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,8044883.0,ns,90885
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,8599120.0,ns,96944
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,9169991.0,ns,103003
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,9854144.0,ns,109062
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,10106110.0,ns,115121
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,10732816.0,ns,121180
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,13157942.0,ns,127239
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,12181556.0,ns,133298
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,12411169.0,ns,139357
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,12640363.0,ns,145416
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,13134828.0,ns,151475
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,13633039.0,ns,157534
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,14368411.0,ns,163593
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,14742288.0,ns,169652
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,15532882.0,ns,175711
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,15802302.0,ns,181770
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,16545067.0,ns,187829
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,17970211.0,ns,193888
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,18935678.0,ns,199947
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,19263106.0,ns,206006
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,18994990.0,ns,212065
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,19258257.0,ns,218124
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,20110409.0,ns,224183
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,20207221.0,ns,230242
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,20379898.0,ns,236301
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,21326699.0,ns,242360
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,22026994.0,ns,248419
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,22586450.0,ns,254478
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,23123126.0,ns,260537
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,23108568.0,ns,266596
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,23968224.0,ns,272655
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,24816147.0,ns,278714
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,25019201.0,ns,284773
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,25620389.0,ns,290832
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,26303990.0,ns,296891
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,26686304.0,ns,302950
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,27324040.0,ns,309009
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,27567670.0,ns,315068
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,28150844.0,ns,321127
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,28515773.0,ns,327186
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,29088376.0,ns,333245
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,29860907.0,ns,339304
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,30233572.0,ns,345363
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,30845879.0,ns,351422
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,31448268.0,ns,357481
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,31953534.0,ns,363540
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,32394178.0,ns,369599
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,16,16,bytes,32703031.0,ns,375658
