group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,522237.0,ns,5542
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,1032062.0,ns,11084
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,1668545.0,ns,16626
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,2100301.0,ns,22168
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,2678946.0,ns,27710
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,3185184.0,ns,33252
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,3732238.0,ns,38794
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,4160117.0,ns,44336
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,4760082.0,ns,49878
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,5201767.0,ns,55420
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,5709377.0,ns,60962
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,6208731.0,ns,66504
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,6762809.0,ns,72046
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,7334159.0,ns,77588
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,7831240.0,ns,83130
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,8387260.0,ns,88672
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,8912474.0,ns,94214
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,17366401.0,ns,99756
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,9898408.0,ns,105298
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,10525304.0,ns,110840
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,11675258.0,ns,116382
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,11565521.0,ns,121924
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,15440268.0,ns,127466
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,16516824.0,ns,133008
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,16691494.0,ns,138550
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,25190116.0,ns,144092
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,13878725.0,ns,149634
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,14275636.0,ns,155176
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,14592886.0,ns,160718
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,15344107.0,ns,166260
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,15613526.0,ns,171802
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,16381668.0,ns,177344
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,16537885.0,ns,182886
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,17841359.0,ns,188428
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,17823696.0,ns,193970
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,17970092.0,ns,199512
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,18473975.0,ns,205054
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,19257998.0,ns,210596
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,19936451.0,ns,216138
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,20634280.0,ns,221680
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,20513201.0,ns,227222
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,21220299.0,ns,232764
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,21589958.0,ns,238306
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,22271818.0,ns,243848
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,22444454.0,ns,249390
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,23538723.0,ns,254932
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,45622555.0,ns,260474
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,24444576.0,ns,266016
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,25344478.0,ns,271558
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,25178805.0,ns,277100
dummy_virt_seq_read,dummy_virt_seq_read_tlb_nocache,256,256,bytes,49608122.0,ns,282642
