group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,119837.0,ns,4
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,234624.0,ns,8
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,352388.0,ns,12
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,451345.0,ns,16
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,568828.0,ns,20
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,697131.0,ns,24
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,870149.0,ns,28
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,899896.0,ns,32
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1014141.0,ns,36
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1098502.0,ns,40
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1229810.0,ns,44
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1340801.0,ns,48
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1487579.0,ns,52
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1613948.0,ns,56
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1717806.0,ns,60
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1909047.0,ns,64
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,1859984.0,ns,68
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2016071.0,ns,72
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2133613.0,ns,76
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2483607.0,ns,80
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2413293.0,ns,84
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2786000.0,ns,88
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2566724.0,ns,92
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2695348.0,ns,96
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,2919081.0,ns,100
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3034820.0,ns,104
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3299592.0,ns,108
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3194603.0,ns,112
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3223037.0,ns,116
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3679572.0,ns,120
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3535439.0,ns,124
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3603789.0,ns,128
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3803077.0,ns,132
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3910831.0,ns,136
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,4067608.0,ns,140
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,3968469.0,ns,144
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,4277475.0,ns,148
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,4406409.0,ns,152
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,4908601.0,ns,156
win32_chunk_vat,win32_chunk_vat_cache,4,64,elements,4319666.0,ns,160
