group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,171255.0,ns,1
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,341116.0,ns,2
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,614525.0,ns,3
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,699876.0,ns,4
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,862064.0,ns,5
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,1077662.0,ns,6
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,1281348.0,ns,7
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,1372261.0,ns,8
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,1548955.0,ns,9
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,1672530.0,ns,10
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,1784181.0,ns,11
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,2072037.0,ns,12
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,2233983.0,ns,13
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,2444543.0,ns,14
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,2600439.0,ns,15
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,2777755.0,ns,16
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,2976040.0,ns,17
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,3077893.0,ns,18
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,3348155.0,ns,19
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,3464455.0,ns,20
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,3627154.0,ns,21
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,3794260.0,ns,22
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4013076.0,ns,23
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4088158.0,ns,24
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4315348.0,ns,25
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4509246.0,ns,26
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4656555.0,ns,27
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4813673.0,ns,28
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,4989736.0,ns,29
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,5148387.0,ns,30
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,5323098.0,ns,31
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,5407258.0,ns,32
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,5663213.0,ns,33
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,5813267.0,ns,34
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6048543.0,ns,35
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6130519.0,ns,36
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6267879.0,ns,37
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6578988.0,ns,38
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6488838.0,ns,39
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6496873.0,ns,40
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,6856595.0,ns,41
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,7073756.0,ns,42
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,7531935.0,ns,43
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,7542024.0,ns,44
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,7561350.0,ns,45
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,8111683.0,ns,46
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,9059129.0,ns,47
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,8314247.0,ns,48
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,8322473.0,ns,49
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,8581864.0,ns,50
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,8799216.0,ns,51
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,8704797.0,ns,52
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,9368405.0,ns,53
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,9278614.0,ns,54
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,9530993.0,ns,55
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,10349684.0,ns,56
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,10706080.0,ns,57
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,10996712.0,ns,58
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11070710.0,ns,59
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11313181.0,ns,60
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,10095403.0,ns,61
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11465448.0,ns,62
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11591879.0,ns,63
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11855849.0,ns,64
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11775056.0,ns,65
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11500175.0,ns,66
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,12097086.0,ns,67
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,12500580.0,ns,68
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11761811.0,ns,69
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,11959957.0,ns,70
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,12831508.0,ns,71
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,13359068.0,ns,72
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,12387686.0,ns,73
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,12759631.0,ns,74
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,12984488.0,ns,75
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,13112310.0,ns,76
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,13182984.0,ns,77
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,13520444.0,ns,78
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,14430027.0,ns,79
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,14676113.0,ns,80
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,13506757.0,ns,81
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,15159610.0,ns,82
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,14192667.0,ns,83
win32_chunk_vat,win32_chunk_vat_nocache,16,256,elements,15473925.0,ns,84
