group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,117323.0,ns,2
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,234184.0,ns,4
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,352748.0,ns,6
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,458900.0,ns,8
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,567325.0,ns,10
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,682563.0,ns,12
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,796760.0,ns,14
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,929511.0,ns,16
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1032988.0,ns,18
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1154689.0,ns,20
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1265759.0,ns,22
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1379434.0,ns,24
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1492789.0,ns,26
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1599101.0,ns,28
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1704000.0,ns,30
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1812365.0,ns,32
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,1919017.0,ns,34
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2019268.0,ns,36
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2198897.0,ns,38
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2288888.0,ns,40
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2416450.0,ns,42
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2590359.0,ns,44
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2744802.0,ns,46
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2780370.0,ns,48
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2889967.0,ns,50
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,2959209.0,ns,52
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3024161.0,ns,54
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3170119.0,ns,56
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3279435.0,ns,58
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3438297.0,ns,60
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3519761.0,ns,62
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3643325.0,ns,64
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3791326.0,ns,66
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,3926361.0,ns,68
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4014448.0,ns,70
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4075183.0,ns,72
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4238152.0,ns,74
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4410539.0,ns,76
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4515529.0,ns,78
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4644944.0,ns,80
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4748118.0,ns,82
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4707973.0,ns,84
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4802672.0,ns,86
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,4865121.0,ns,88
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5138849.0,ns,90
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5181230.0,ns,92
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5355891.0,ns,94
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5440621.0,ns,96
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5531073.0,ns,98
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5732505.0,ns,100
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5790313.0,ns,102
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,5911704.0,ns,104
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6015211.0,ns,106
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6037742.0,ns,108
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6229155.0,ns,110
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6335819.0,ns,112
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6367689.0,ns,114
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6680221.0,ns,116
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7579335.0,ns,118
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6747798.0,ns,120
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6891340.0,ns,122
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7135152.0,ns,124
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7212729.0,ns,126
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,6188699.0,ns,128
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7485216.0,ns,130
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7405225.0,ns,132
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7506045.0,ns,134
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7755388.0,ns,136
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7922334.0,ns,138
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,7996064.0,ns,140
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8146720.0,ns,142
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8092688.0,ns,144
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8267800.0,ns,146
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8417744.0,ns,148
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8496673.0,ns,150
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8584741.0,ns,152
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8848821.0,ns,154
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8813473.0,ns,156
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8914254.0,ns,158
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,8992713.0,ns,160
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9032339.0,ns,162
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9300467.0,ns,164
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9413641.0,ns,166
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9514622.0,ns,168
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9553375.0,ns,170
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9692739.0,ns,172
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,9718680.0,ns,174
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10000434.0,ns,176
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10125421.0,ns,178
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10122234.0,ns,180
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10148444.0,ns,182
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10251890.0,ns,184
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10416482.0,ns,186
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10738552.0,ns,188
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10544594.0,ns,190
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,10837108.0,ns,192
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,11121357.0,ns,194
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,11211718.0,ns,196
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,11184146.0,ns,198
win32_chunk_vat,win32_chunk_vat_nocache,4,64,elements,11330354.0,ns,200
