group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,147600.0,ns,2
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,425196.0,ns,4
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,572475.0,ns,6
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,947416.0,ns,8
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1112227.0,ns,10
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1307538.0,ns,12
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1471929.0,ns,14
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1828183.0,ns,16
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1851848.0,ns,18
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,2524382.0,ns,20
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,2176614.0,ns,22
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1162893.0,ns,24
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,2876460.0,ns,26
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,3171479.0,ns,28
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1032977.0,ns,30
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,3113358.0,ns,32
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,3746098.0,ns,34
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,3241050.0,ns,36
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,4179288.0,ns,38
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,4315887.0,ns,40
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,3765875.0,ns,42
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,4454490.0,ns,44
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,4624271.0,ns,46
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,5230540.0,ns,48
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,5946326.0,ns,50
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,4389266.0,ns,52
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,5971404.0,ns,54
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,6010709.0,ns,56
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,6632486.0,ns,58
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,5190234.0,ns,60
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7213436.0,ns,62
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,4276993.0,ns,64
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,6249080.0,ns,66
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7702163.0,ns,68
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7785150.0,ns,70
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,8032048.0,ns,72
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,1552601.0,ns,74
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7548331.0,ns,76
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,8253136.0,ns,78
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7621189.0,ns,80
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,9206533.0,ns,82
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,3956165.0,ns,84
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,9005753.0,ns,86
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,9673408.0,ns,88
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7871774.0,ns,90
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,9215239.0,ns,92
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,11081796.0,ns,94
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,8389285.0,ns,96
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,7413386.0,ns,98
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,10241434.0,ns,100
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,8226396.0,ns,102
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,11427832.0,ns,104
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,5458241.0,ns,106
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,10468383.0,ns,108
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,10619220.0,ns,110
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,2565130.0,ns,112
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,10716845.0,ns,114
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,12401126.0,ns,116
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,12688410.0,ns,118
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,12841329.0,ns,120
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,12971186.0,ns,122
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,12840779.0,ns,124
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14041854.0,ns,126
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,13111141.0,ns,128
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,11341668.0,ns,130
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14323067.0,ns,132
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,13828600.0,ns,134
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,8479115.0,ns,136
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,13600268.0,ns,138
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,15436055.0,ns,140
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,11331810.0,ns,142
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,8923487.0,ns,144
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,13462817.0,ns,146
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,17705215.0,ns,148
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14316264.0,ns,150
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14141462.0,ns,152
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,16027937.0,ns,154
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,15249742.0,ns,156
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,11378899.0,ns,158
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14333597.0,ns,160
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,17408262.0,ns,162
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,19284116.0,ns,164
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,15049623.0,ns,166
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,18518356.0,ns,168
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,15374369.0,ns,170
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14158545.0,ns,172
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,18574983.0,ns,174
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,14847591.0,ns,176
win32_chunk_vat,win32_chunk_vat_tlb_cache,16,256,elements,15076945.0,ns,178
