group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,201261.0,ns,6
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,348660.0,ns,12
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,608813.0,ns,18
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,743909.0,ns,24
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,385019.0,ns,30
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1020063.0,ns,36
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1142074.0,ns,42
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1462301.0,ns,48
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1438886.0,ns,54
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1769342.0,ns,60
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1652801.0,ns,66
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1567129.0,ns,72
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1624628.0,ns,78
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2545964.0,ns,84
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2456644.0,ns,90
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2362557.0,ns,96
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2998701.0,ns,102
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2765589.0,ns,108
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2327530.0,ns,114
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,3011666.0,ns,120
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2431627.0,ns,126
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,4207352.0,ns,132
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,3666427.0,ns,138
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,1547121.0,ns,144
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,3814166.0,ns,150
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,2076094.0,ns,156
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,5051351.0,ns,162
win32_chunk_vat,win32_chunk_vat_tlb_cache,4,64,elements,4052046.0,ns,168
