group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,186573.0,ns,7
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,333141.0,ns,14
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,607211.0,ns,21
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,903963.0,ns,28
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,998282.0,ns,35
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1406766.0,ns,42
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1421985.0,ns,49
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1308940.0,ns,56
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1909929.0,ns,63
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1691365.0,ns,70
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2133593.0,ns,77
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2223093.0,ns,84
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1865776.0,ns,91
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2045477.0,ns,98
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1999840.0,ns,105
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2343481.0,ns,112
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1650288.0,ns,119
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1723025.0,ns,126
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2315378.0,ns,133
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,1902425.0,ns,140
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,4090501.0,ns,147
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2520657.0,ns,154
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,3506835.0,ns,161
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5188513.0,ns,168
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,2955721.0,ns,175
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,532028.0,ns,182
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,4504988.0,ns,189
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,4671262.0,ns,196
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5230662.0,ns,203
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,6105240.0,ns,210
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5627435.0,ns,217
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5796364.0,ns,224
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,6783455.0,ns,231
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5741841.0,ns,238
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5226875.0,ns,245
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,7960355.0,ns,252
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5200054.0,ns,259
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,6276244.0,ns,266
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,6163861.0,ns,273
win32_chunk_vat,win32_chunk_vat_tlb_nocache,1,16,elements,5586347.0,ns,280
