group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,345875.0,ns,2
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,726948.0,ns,4
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,954679.0,ns,6
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,1078504.0,ns,8
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,1757961.0,ns,10
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,1483711.0,ns,12
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,1386096.0,ns,14
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,2757114.0,ns,16
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,2941765.0,ns,18
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,3579163.0,ns,20
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,2865420.0,ns,22
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,3118429.0,ns,24
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,4038162.0,ns,26
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,4846514.0,ns,28
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,5078984.0,ns,30
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,2861262.0,ns,32
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,4500388.0,ns,34
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,5373683.0,ns,36
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,6336278.0,ns,38
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,6126519.0,ns,40
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,4582123.0,ns,42
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,4196943.0,ns,44
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,5957790.0,ns,46
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,8333191.0,ns,48
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,8163370.0,ns,50
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,7448655.0,ns,52
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,8173659.0,ns,54
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,10085232.0,ns,56
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,8595087.0,ns,58
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,9915661.0,ns,60
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,11112638.0,ns,62
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,8765831.0,ns,64
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,10116050.0,ns,66
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,10070173.0,ns,68
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,7341502.0,ns,70
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,11866487.0,ns,72
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,11395104.0,ns,74
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,7277461.0,ns,76
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,11008230.0,ns,78
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,11379535.0,ns,80
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,11643854.0,ns,82
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,14618692.0,ns,84
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,15341502.0,ns,86
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,12099068.0,ns,88
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,7323668.0,ns,90
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,13484012.0,ns,92
win32_chunk_vat,win32_chunk_vat_tlb_nocache,16,256,elements,7491727.0,ns,94
