group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,661634.0,ns,2318
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,1075378.0,ns,4636
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,1567150.0,ns,6954
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,1974433.0,ns,9272
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,2347791.0,ns,11590
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,2799888.0,ns,13908
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,3249019.0,ns,16226
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,3682652.0,ns,18544
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,4199251.0,ns,20862
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,4570044.0,ns,23180
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,4929395.0,ns,25498
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,5531457.0,ns,27816
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,5880378.0,ns,30134
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,6308730.0,ns,32452
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,6741670.0,ns,34770
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,7251026.0,ns,37088
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,7548199.0,ns,39406
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,8049770.0,ns,41724
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,8470919.0,ns,44042
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,8849266.0,ns,46360
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,9273019.0,ns,48678
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,9826528.0,ns,50996
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,10025937.0,ns,53314
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,10656613.0,ns,55632
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,11028007.0,ns,57950
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,11475525.0,ns,60268
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,11871465.0,ns,62586
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,12430395.0,ns,64904
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,12655882.0,ns,67222
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,13411786.0,ns,69540
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,13604440.0,ns,71858
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,14046298.0,ns,74176
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,14636166.0,ns,76494
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,15102551.0,ns,78812
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,15359898.0,ns,81130
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,15787439.0,ns,83448
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,16127874.0,ns,85766
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,16608676.0,ns,88084
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,17137819.0,ns,90402
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,17548067.0,ns,92720
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,18036332.0,ns,95038
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,18213097.0,ns,97356
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,18957538.0,ns,99674
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,19264851.0,ns,101992
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,19562074.0,ns,104310
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,20154778.0,ns,106628
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,20571377.0,ns,108946
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,20980212.0,ns,111264
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,21438772.0,ns,113582
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,21669589.0,ns,115900
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,22170620.0,ns,118218
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,22536563.0,ns,120536
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,23175475.0,ns,122854
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,23706150.0,ns,125172
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,23988196.0,ns,127490
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,24554158.0,ns,129808
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,24997419.0,ns,132126
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,25444115.0,ns,134444
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,25754273.0,ns,136762
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,26226497.0,ns,139080
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,26398163.0,ns,141398
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,26953807.0,ns,143716
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,27537413.0,ns,146034
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,28031981.0,ns,148352
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,28291994.0,ns,150670
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,28674769.0,ns,152988
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,29124382.0,ns,155306
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,29357804.0,ns,157624
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,29760598.0,ns,159942
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,30444925.0,ns,162260
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,30860433.0,ns,164578
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,31104075.0,ns,166896
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,31725683.0,ns,169214
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,32049436.0,ns,171532
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,32466016.0,ns,173850
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,33108865.0,ns,176168
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,33435053.0,ns,178486
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,34139849.0,ns,180804
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,34012558.0,ns,183122
win32_phys_chunk_read,win32_phys_chunk_read_cache_s10,16,16,bytes,34348004.0,ns,185440
