group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,514014.0,ns,59
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,967234.0,ns,118
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,1425362.0,ns,177
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,1861569.0,ns,236
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,2309789.0,ns,295
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,2730437.0,ns,354
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,3148468.0,ns,413
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,3602610.0,ns,472
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,4174073.0,ns,531
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,4365005.0,ns,590
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,4810019.0,ns,649
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,5273818.0,ns,708
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,5566973.0,ns,767
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,6031885.0,ns,826
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,6495063.0,ns,885
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,7052339.0,ns,944
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,7309968.0,ns,1003
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,7881531.0,ns,1062
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,8107420.0,ns,1121
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,8643637.0,ns,1180
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,9072199.0,ns,1239
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,9778567.0,ns,1298
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,9884790.0,ns,1357
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,10431195.0,ns,1416
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,10835301.0,ns,1475
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,11118579.0,ns,1534
win32_phys_chunk_read,win32_phys_chunk_read_cache_s8,512,512,bytes,11421072.0,ns,1593
