group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,497704.0,ns,38
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,980098.0,ns,76
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,1434120.0,ns,114
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,1901335.0,ns,152
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,2345177.0,ns,190
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,2874070.0,ns,228
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,3252327.0,ns,266
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,3609355.0,ns,304
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,4096248.0,ns,342
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,4583091.0,ns,380
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,5046370.0,ns,418
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,5428013.0,ns,456
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,5907632.0,ns,494
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,6326186.0,ns,532
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,6494064.0,ns,570
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,7063635.0,ns,608
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,7606935.0,ns,646
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,7941620.0,ns,684
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,8382946.0,ns,722
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,8722170.0,ns,760
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,9075860.0,ns,798
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s10,1024,1024,bytes,9665900.0,ns,836
