group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,515367.0,ns,381
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,972224.0,ns,762
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,1425874.0,ns,1143
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,1937634.0,ns,1524
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,2272228.0,ns,1905
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,2909346.0,ns,2286
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,3029194.0,ns,2667
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,3913872.0,ns,3048
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,4093512.0,ns,3429
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,4688030.0,ns,3810
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,4804019.0,ns,4191
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,5128034.0,ns,4572
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,5725797.0,ns,4953
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,5999746.0,ns,5334
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,6469728.0,ns,5715
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,6722116.0,ns,6096
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,7291155.0,ns,6477
win32_phys_chunk_read,win32_phys_chunk_read_nocache_s100,1024,1024,bytes,7692727.0,ns,6858
