group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,564270.0,ns,1770
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,965071.0,ns,3540
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,1346944.0,ns,5310
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,1646794.0,ns,7080
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,2021705.0,ns,8850
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,2402708.0,ns,10620
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,2829697.0,ns,12390
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,3117473.0,ns,14160
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,3477236.0,ns,15930
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,3820426.0,ns,17700
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,4258578.0,ns,19470
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,4600385.0,ns,21240
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,5027596.0,ns,23010
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,5247994.0,ns,24780
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,5647151.0,ns,26550
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,6074472.0,ns,28320
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,6334224.0,ns,30090
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,6671764.0,ns,31860
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,7114445.0,ns,33630
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,7474627.0,ns,35400
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,8028438.0,ns,37170
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,8111094.0,ns,38940
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,8561489.0,ns,40710
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,8856798.0,ns,42480
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,10469237.0,ns,44250
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,9701682.0,ns,46020
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,10167805.0,ns,47790
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,10333961.0,ns,49560
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,10666241.0,ns,51330
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,11637433.0,ns,53100
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,11288030.0,ns,54870
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,11763743.0,ns,56640
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,12035829.0,ns,58410
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,12560534.0,ns,60180
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,14236733.0,ns,61950
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,13194096.0,ns,63720
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,13713190.0,ns,65490
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,15081145.0,ns,67260
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,14374034.0,ns,69030
win32_phys_seq_read,win32_phys_seq_read_cache,256,256,bytes,14490895.0,ns,70800
