group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,612562.0,ns,1192
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,989347.0,ns,2384
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,1440533.0,ns,3576
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,1833638.0,ns,4768
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,2240970.0,ns,5960
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,2654746.0,ns,7152
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,3338933.0,ns,8344
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,3479108.0,ns,9536
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,4076261.0,ns,10728
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,4319874.0,ns,11920
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,4848246.0,ns,13112
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,5232965.0,ns,14304
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,5557250.0,ns,15496
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,6013836.0,ns,16688
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,6334214.0,ns,17880
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,6854381.0,ns,19072
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,7403653.0,ns,20264
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,7571691.0,ns,21456
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,7995866.0,ns,22648
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,8460166.0,ns,23840
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,8961456.0,ns,25032
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,9337000.0,ns,26224
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,9630827.0,ns,27416
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,10111980.0,ns,28608
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,10378104.0,ns,29800
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,10822487.0,ns,30992
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,11197127.0,ns,32184
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,11669152.0,ns,33376
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,12219196.0,ns,34568
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,12442059.0,ns,35760
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,12687775.0,ns,36952
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,13394786.0,ns,38144
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,13812327.0,ns,39336
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,14309481.0,ns,40528
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,14530800.0,ns,41720
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,15021912.0,ns,42912
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,15525997.0,ns,44104
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,15821869.0,ns,45296
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,16008222.0,ns,46488
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,16836634.0,ns,47680
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,20254826.0,ns,48872
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,24305069.0,ns,50064
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,18104970.0,ns,51256
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,18153071.0,ns,52448
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,18269201.0,ns,53640
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,18593106.0,ns,54832
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,19857613.0,ns,56024
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,19926474.0,ns,57216
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,20120773.0,ns,58408
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,20496806.0,ns,59600
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,21259292.0,ns,60792
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,21759440.0,ns,61984
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,22246083.0,ns,63176
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,22614783.0,ns,64368
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,22941984.0,ns,65560
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,23249377.0,ns,66752
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,25313732.0,ns,67944
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,24551777.0,ns,69136
win32_phys_seq_read,win32_phys_seq_read_cache,4096,4096,bytes,24700118.0,ns,70328
