group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,406891.0,ns,458
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,808293.0,ns,916
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,1201339.0,ns,1374
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,1582301.0,ns,1832
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,2003110.0,ns,2290
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,2371879.0,ns,2748
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,2864334.0,ns,3206
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,3291384.0,ns,3664
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,3663490.0,ns,4122
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,4068517.0,ns,4580
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,4312209.0,ns,5038
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,4752805.0,ns,5496
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,5144479.0,ns,5954
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,5551601.0,ns,6412
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,6038434.0,ns,6870
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,6444575.0,ns,7328
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,6864983.0,ns,7786
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,8285406.0,ns,8244
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,7570781.0,ns,8702
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,8087081.0,ns,9160
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,8146303.0,ns,9618
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,8767100.0,ns,10076
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,9108668.0,ns,10534
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,9491355.0,ns,10992
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,9945476.0,ns,11450
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,10356646.0,ns,11908
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,10518453.0,ns,12366
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,11042587.0,ns,12824
win32_phys_seq_read,win32_phys_seq_read_nocache,4096,4096,bytes,11445041.0,ns,13282
