group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,417943.0,ns,98
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,838821.0,ns,196
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,1311548.0,ns,294
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,1660199.0,ns,392
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,2469404.0,ns,490
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,2556419.0,ns,588
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,2940669.0,ns,686
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,3389560.0,ns,784
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,3802133.0,ns,882
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,4274288.0,ns,980
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,4755360.0,ns,1078
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,5020864.0,ns,1176
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,5595013.0,ns,1274
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,5844316.0,ns,1372
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,6535086.0,ns,1470
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,6791443.0,ns,1568
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,7176242.0,ns,1666
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,7674749.0,ns,1764
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,8036093.0,ns,1862
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,8754526.0,ns,1960
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,8966488.0,ns,2058
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,9289090.0,ns,2156
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,9766806.0,ns,2254
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,10406930.0,ns,2352
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,10524524.0,ns,2450
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,10985959.0,ns,2548
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,11556721.0,ns,2646
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,11689093.0,ns,2744
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,12420450.0,ns,2842
win32_phys_seq_read,win32_phys_seq_read_nocache,65536,65536,bytes,12539716.0,ns,2940
