group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,57648.0,ns,14
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,82596.0,ns,28
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,101001.0,ns,42
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,162557.0,ns,56
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,182575.0,ns,70
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,225916.0,ns,84
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,221488.0,ns,98
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,276463.0,ns,112
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,303964.0,ns,126
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,370179.0,ns,140
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,365670.0,ns,154
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,404143.0,ns,168
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,442546.0,ns,182
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,514331.0,ns,196
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,518780.0,ns,210
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,560268.0,ns,224
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,547293.0,ns,238
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,599943.0,ns,252
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,775495.0,ns,266
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,663563.0,ns,280
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,737282.0,ns,294
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,728356.0,ns,308
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,747011.0,ns,322
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,800281.0,ns,336
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,822904.0,ns,350
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,868641.0,ns,364
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,1065954.0,ns,378
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,1329882.0,ns,392
win32_virt_chunk_read,win32_virt_chunk_read_cache_s10,64,64,bytes,1001211.0,ns,406
