group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,145636.0,ns,4
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,286063.0,ns,8
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,430376.0,ns,12
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,559341.0,ns,16
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,704827.0,ns,20
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,831247.0,ns,24
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,971012.0,ns,28
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,1112531.0,ns,32
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,1229513.0,ns,36
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,1427278.0,ns,40
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,1512009.0,ns,44
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2444628.0,ns,48
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,1767694.0,ns,52
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,1963515.0,ns,56
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2060359.0,ns,60
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2215142.0,ns,64
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3347581.0,ns,68
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2523398.0,ns,72
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2615633.0,ns,76
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2797468.0,ns,80
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,2956649.0,ns,84
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3046270.0,ns,88
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4263259.0,ns,92
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3293248.0,ns,96
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3513566.0,ns,100
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3879521.0,ns,104
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3707594.0,ns,108
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3827743.0,ns,112
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,3973639.0,ns,116
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4089168.0,ns,120
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4224795.0,ns,124
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4407633.0,ns,128
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6552562.0,ns,132
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4656214.0,ns,136
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4961313.0,ns,140
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,4866573.0,ns,144
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,5116508.0,ns,148
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,5202270.0,ns,152
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,5287742.0,ns,156
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6073083.0,ns,160
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,5694043.0,ns,164
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,5782752.0,ns,168
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,5900655.0,ns,172
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8702952.0,ns,176
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7622112.0,ns,180
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6404691.0,ns,184
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6380786.0,ns,188
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6532874.0,ns,192
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6820701.0,ns,196
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,6865206.0,ns,200
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7211493.0,ns,204
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7090142.0,ns,208
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7282617.0,ns,212
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7413135.0,ns,216
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7532481.0,ns,220
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7618615.0,ns,224
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7814988.0,ns,228
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,7887325.0,ns,232
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8154823.0,ns,236
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8190600.0,ns,240
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8392493.0,ns,244
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8525815.0,ns,248
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8590038.0,ns,252
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8824953.0,ns,256
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,9219082.0,ns,260
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,8984195.0,ns,264
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,9824630.0,ns,268
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,9592881.0,ns,272
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,9484505.0,ns,276
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,9723007.0,ns,280
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10068082.0,ns,284
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10102958.0,ns,288
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10261259.0,ns,292
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10166819.0,ns,296
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10311814.0,ns,300
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10612715.0,ns,304
win32_virt_chunk_read,win32_virt_chunk_read_cache_s100,16384,16384,bytes,10549606.0,ns,308
