group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,200759.0,ns,2
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,381580.0,ns,4
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,578142.0,ns,6
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,759014.0,ns,8
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,1019836.0,ns,10
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,1163267.0,ns,12
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,1422948.0,ns,14
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,1513428.0,ns,16
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,1692677.0,ns,18
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,1858791.0,ns,20
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,2040955.0,ns,22
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,2225263.0,ns,24
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,2373753.0,ns,26
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,2599429.0,ns,28
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,2899847.0,ns,30
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,2993153.0,ns,32
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,3098562.0,ns,34
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,3406083.0,ns,36
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,3459213.0,ns,38
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,3712532.0,ns,40
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,3823842.0,ns,42
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,4307916.0,ns,44
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,4298739.0,ns,46
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,4453941.0,ns,48
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,4622921.0,ns,50
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,4848216.0,ns,52
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,4953135.0,ns,54
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,5129467.0,ns,56
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,5397323.0,ns,58
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,5480010.0,ns,60
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,5745862.0,ns,62
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,5871339.0,ns,64
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,6122563.0,ns,66
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,6345775.0,ns,68
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,6420185.0,ns,70
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,6896846.0,ns,72
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,6737304.0,ns,74
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,6964052.0,ns,76
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,7254271.0,ns,78
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,7256214.0,ns,80
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,7953391.0,ns,82
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,7803007.0,ns,84
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,8066124.0,ns,86
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,8293954.0,ns,88
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,8626692.0,ns,90
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,8497629.0,ns,92
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,8563032.0,ns,94
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,8775674.0,ns,96
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,9205636.0,ns,98
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,9341182.0,ns,100
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,9636149.0,ns,102
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,9460899.0,ns,104
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,9416434.0,ns,106
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,10264977.0,ns,108
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,10507364.0,ns,110
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,10694287.0,ns,112
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,10577287.0,ns,114
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,11008841.0,ns,116
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,11013070.0,ns,118
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,10982702.0,ns,120
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,11299911.0,ns,122
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,11241170.0,ns,124
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,11714164.0,ns,126
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,11649321.0,ns,128
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,12260456.0,ns,130
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,12453691.0,ns,132
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,12869546.0,ns,134
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,12978662.0,ns,136
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13348180.0,ns,138
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,12662765.0,ns,140
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13548048.0,ns,142
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13191895.0,ns,144
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13651663.0,ns,146
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13353390.0,ns,148
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13806024.0,ns,150
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,13918677.0,ns,152
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,14490366.0,ns,154
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,14022313.0,ns,156
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,15150624.0,ns,158
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,14935187.0,ns,160
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,15219754.0,ns,162
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,14790795.0,ns,164
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,15145534.0,ns,166
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,15576338.0,ns,168
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,15562471.0,ns,170
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,16744254.0,ns,172
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,16567981.0,ns,174
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,16376799.0,ns,176
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,16465618.0,ns,178
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,17275808.0,ns,180
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,16803095.0,ns,182
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,16732582.0,ns,184
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,17393901.0,ns,186
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,17407487.0,ns,188
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,18000656.0,ns,190
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,17935885.0,ns,192
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,18137215.0,ns,194
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,18019942.0,ns,196
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,18853658.0,ns,198
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s1000,262144,262144,bytes,18515889.0,ns,200
