group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,92705.0,ns,7
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,168097.0,ns,14
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,273256.0,ns,21
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,476169.0,ns,28
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,452885.0,ns,35
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,541102.0,ns,42
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,619760.0,ns,49
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,742392.0,ns,56
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,820610.0,ns,63
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,892416.0,ns,70
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,945335.0,ns,77
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1017392.0,ns,84
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1139812.0,ns,91
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1164549.0,ns,98
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1267765.0,ns,105
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1367813.0,ns,112
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1567490.0,ns,119
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1566328.0,ns,126
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1725308.0,ns,133
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1808946.0,ns,140
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1802765.0,ns,147
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,1976624.0,ns,154
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2152425.0,ns,161
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2182011.0,ns,168
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2246944.0,ns,175
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2266691.0,ns,182
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2483671.0,ns,189
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2404852.0,ns,196
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2636570.0,ns,203
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2766545.0,ns,210
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2721580.0,ns,217
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2711661.0,ns,224
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3162393.0,ns,231
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,2973706.0,ns,238
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3034091.0,ns,245
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3235461.0,ns,252
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3270697.0,ns,259
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3268743.0,ns,266
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3408087.0,ns,273
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3508876.0,ns,280
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3481035.0,ns,287
win32_virt_chunk_read,win32_virt_chunk_read_nocache_s8,128,128,bytes,3529917.0,ns,294
