group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,60565.0,ns,4
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,97053.0,ns,8
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,138491.0,ns,12
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,197513.0,ns,16
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,340804.0,ns,20
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,243220.0,ns,24
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,270882.0,ns,28
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,435603.0,ns,32
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,361242.0,ns,36
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,390197.0,ns,40
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,505695.0,ns,44
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,462052.0,ns,48
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,501137.0,ns,52
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,534550.0,ns,56
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,685134.0,ns,60
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,639498.0,ns,64
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,659104.0,ns,68
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,707546.0,ns,72
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,730018.0,ns,76
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,858461.0,ns,80
win32_virt_seq_read,win32_virt_seq_read_cache,65536,65536,bytes,851178.0,ns,84
