group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,31078.0,ns,8
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,59963.0,ns,16
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,79550.0,ns,24
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,98546.0,ns,32
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,132561.0,ns,40
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,151877.0,ns,48
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,182715.0,ns,56
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,214605.0,ns,64
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,220396.0,ns,72
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,277705.0,ns,80
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,259440.0,ns,88
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,314524.0,ns,96
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,292933.0,ns,104
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,350261.0,ns,112
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,381871.0,ns,120
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,412950.0,ns,128
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,410025.0,ns,136
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,434591.0,ns,144
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,469827.0,ns,152
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,502980.0,ns,160
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,502559.0,ns,168
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,524391.0,ns,176
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,590175.0,ns,184
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,587148.0,ns,192
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,598731.0,ns,200
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,587710.0,ns,208
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,695433.0,ns,216
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,677320.0,ns,224
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,730440.0,ns,232
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,691557.0,ns,240
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,732844.0,ns,248
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,778961.0,ns,256
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,733275.0,ns,264
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,859944.0,ns,272
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,797546.0,ns,280
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,845277.0,ns,288
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,862889.0,ns,296
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,916110.0,ns,304
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,963690.0,ns,312
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,992314.0,ns,320
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1025247.0,ns,328
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1070121.0,ns,336
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1103013.0,ns,344
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1085861.0,ns,352
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1050664.0,ns,360
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1244761.0,ns,368
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1194226.0,ns,376
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1155893.0,ns,384
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1240032.0,ns,392
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1318370.0,ns,400
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1249319.0,ns,408
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1201038.0,ns,416
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1265220.0,ns,424
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1277172.0,ns,432
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1318390.0,ns,440
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1427746.0,ns,448
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1464827.0,ns,456
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1489262.0,ns,464
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1488532.0,ns,472
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1436373.0,ns,480
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1543826.0,ns,488
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1647722.0,ns,496
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1587979.0,ns,504
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1682498.0,ns,512
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1595664.0,ns,520
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1586727.0,ns,528
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1700912.0,ns,536
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1721100.0,ns,544
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1863810.0,ns,552
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1654905.0,ns,560
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1784089.0,ns,568
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1755165.0,ns,576
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1715881.0,ns,584
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1859572.0,ns,592
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1784360.0,ns,600
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1789910.0,ns,608
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1830367.0,ns,616
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,2077584.0,ns,624
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,1883407.0,ns,632
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,2009265.0,ns,640
win32_virt_seq_read,win32_virt_seq_read_nocache,4096,4096,bytes,2051525.0,ns,648
